id,status,source
Peter Philips Kavelleer,apprentice,
Philips Boellon,master,
Jan Bousou,master,
Jan Peneuner,master,
Bartholomeus Philipsens,apprentice,
Willem Commys,master,
Jan Laurys De Brye,master,
Gillis Penninckx,apprentice,
Sennyn Van Eyck,apprentice,
Michiel Peres,master,
Carel Montien,apprentice,
Joos De Vriendt,master,
Lucas Claessens,apprentice,
Pierre Tassot,master,
Jacob Mememans,master,
Jan De Prie,master,
Antoon Van der Keersen,apprentice,
Peter Van Capenborcht,master,
Cornelis Huysmans,master,
Peter De Winter,master,
Jan Verbelen,apprentice,
Carel Van der Gucht,master,
Louis Cousin,master,
Pangras Beeneken,master,
Willem Klaret,master,
Daniel Van Schoor,apprentice,
Philips Schalie,apprentice,
Peter Schalie,master,
Jacques Van Overstraeten,apprentice,
Antoon Symons,master,
Peter Nys,apprentice,
Daniel De la Fontaine,master,
Laurys Van Andris,apprentice,
Thomas Van Greuls,master,
 De Vocht,apprentice,
Peter ,master,
Fernand Van den Velde,masters sons,
Jan Van der Vliet,master,
Antoon Fransman,master,
Nicolaes Van Nevele,apprentice,
Florentin Collineau,master,
Jacob Coremans,master,
Cornelis Goosens,apprentice,
Francois Raes,master,
Francois Pauwels,apprentice,
Eduaert Sanderlin,master,
Jacques Baptist Blocheau,master,
Bernard De Wevere,apprentice,
Jan De Post,masters sons,
Lanceloot Jacobs,master,
Gaspar Van Vellhen,master,
Bartholomeus Dandelot,master,
Jan Baptist Fabri,master,
Vincent Muchet,master,
Raphael Coxie,master,
Lenard Verbruggen,apprentice,
Peter Marckan,master,
Theodoor Sony,master,
Jan De Sony,apprentice,
Jacques Francquart,master,
Johannes Medard Van der Meren,apprentice,
Antoon Sapien,master,
Jan Uytenhoeven,apprentice,
Jan De Molder,master,
Simon Francois Baudewyns,apprentice,
[widow of] Croeystens,master,
Joos Mossens,apprentice,
Jan Gillet,master,
Francois Volsom,master,
Gabriel Van den Eynde,apprentice,
Jan Daret,master,
Jan Marco,apprentice,
Jan Van der Sanden,master,
Charles Daret,master,
Jan Ballais,master,
Willem Van Immerseel,apprentice,
Carel Nore,master,
Boudewyn Bedet,master,
Nicolaes Van Herp,apprentice,
Balthasar Bolion,master,
Michiel Fortuyn,master,
Johannes De Loes,apprentice,
Jan Baptist Tel,master,
Peter Van der Belen,master,
Jan Van Lyven,apprentice,
Jacques Foucquier,master,
Artus Van Laecken,master,
Hans Doms,apprentice,
Peter Van Potteloy,master,
Peter Van Assche,masters sons,
Tobias Schoonemans,master,
Nicolaes Van Geel,apprentice,
Peter Adriaensen,master,
Maerten Laerelinckel,apprentice,
Jan Wauters,master,
Antoon Daems,apprentice,
Francois Reurbis,master,
Gaerue De Hey,master,
Peter Bert,apprentice,
Peter Van der Meulen,master,
Hans Van der Gucht,apprentice,
Jan Vriendt,master,
Jacques De Prins,apprentice,
Nicolaes Caussens,master,
Carsilis Faebiri,apprentice,
Robert Dandelot,master,
Francois Eyckens,apprentice,
Peter Juwet,master,
