source,source_status,target,target_status,source_entry
Christoffel Goffin,dean,Hendrick Van Bronckhorst,dean,00001671A
Christoffel Goffin,dean,Jan Gillis,dean,00001671A
Christoffel Goffin,dean,Jan [b] Raes,dean,00001671A
Jan Gillis,dean,Jan [b] Raes,dean,00001671A
Hendrick Van Bronckhorst,dean,Jan Gillis,dean,00001671A
Hendrick Van Bronckhorst,dean,Jan [b] Raes,dean,00001671A
Francois Ysenbaut,master,Hendrick Libert,apprentice,00001671B
Melchior Sallaert,dean,Michiel Van Bronckhorst,dean,1672
Jan [b] Raes,dean,Melchior Sallaert,dean,1672
Jan [b] Raes,dean,Michiel Van Bronckhorst,dean,1672
Carel De Swert,dean,Peter Cortois,dean,00001673A
Carel De Swert,dean,Peter Van den Winckel,dean,00001673A
Peter Cortois,dean,Peter Van den Winckel,dean,00001673A
Jan Van Avont,apprentice,Peter Seghers,master,00001673C
David Teniers,master,Gelaude Daure Cour,apprentice,00001675A
Carel De Swert,dean,Peter Cortois,dean,00001675B
Carel De Swert,dean,Peter Van den Winckel,dean,00001675B
Peter Cortois,dean,Peter Van den Winckel,dean,00001675B
Jan [b] Raes,dean,Peter Hellinck,dean,1676
Francois Coppens,dean,Jan [b] Raes,dean,1676
Francois Coppens,dean,Peter Hellinck,dean,1676
Jan [b] Raes,dean,Peter Hellinck,dean,00001677A
Francois Coppens,dean,Jan [b] Raes,dean,00001677A
Francois Coppens,dean,Peter Hellinck,dean,00001677A
Cornelis Coppens,apprentice,Francois Coppens,dean,00001677B
Cornelis Coppens,apprentice,Francois Coppens,master,00001677B
Jacob Nys,apprentice,Reynold Cortkens,master,00001677C
Francois Ysenbaut,master,Peter De Paepe,apprentice,00001678A
Michiel Van Bronckhorst,dean,Peter Van Orley,dean,00001678B
Francois Ysenbaut,dean,Michiel Van Bronckhorst,dean,00001678B
Francois Ysenbaut,dean,Peter Van Orley,dean,00001678B
Francois [b] Coppens,dean,Peter Cortois,dean,00001679A
Francois [b] Coppens,dean,Peter Hellinck,dean,00001679A
Peter Cortois,dean,Peter Hellinck,dean,00001679A
Matthys Van den Bosch,master,Peter De Donderberghen,apprentice,00001679B
Matthys Van den Bosch,dean,Peter De Donderberghen,apprentice,00001679B
Hendrick Van Bronckhorst,master,Peter Pepersack,apprentice,00001679D
Jan [b] Raes,dean,Peter Hellinck,dean,00001680A
Francois [b] Coppens,dean,Jan [b] Raes,dean,00001680A
Francois [b] Coppens,dean,Peter Hellinck,dean,00001680A
Antoon Goosens,apprentice,Jan Schoreels,dean,00001680D
Antoon Goosens,apprentice,Jan Schoreels,master,00001680D
Francois Berbiers,apprentice,Michiel Coolemans,master,00001680E
Hendrick Van Bronckhorst,master,Peter Pepersack,apprentice,00001680F
Hendrick Van Bronckhorst,dean,Peter Pepersack,apprentice,00001680F
Maerten De Kerck,master,Reynier Vrientschap,apprentice,00001680G
Jan Odeyn,master,Michiel Lefebure,apprentice,00001680H
Jan Baptist De Weerdt,apprentice,Judocus Van Dormael,master,00001680I
Willem Piscador,dean,Willem Van Rillaert,dean,00001681D
Erasmus Crock,dean,Willem Piscador,dean,00001681D
Erasmus Crock,dean,Willem Van Rillaert,dean,00001681D
Jan Baptist Crick,apprentice,Judocus Van Dormael,master,00001682A
Adriaen Francois Baudewyns,dean,Francois Ysenbaut,dean,00001682B
Adriaen Francois Baudewyns,dean,Peter De Backer,dean,00001682B
Francois Ysenbaut,dean,Peter De Backer,dean,00001682B
Erasmus Crock,dean,Jan Baptist Timmermans,dean,00001683C
Erasmus Crock,dean,Theodoor Van Heil,dean,00001683C
Jan Baptist Timmermans,dean,Theodoor Van Heil,dean,00001683C
Antoon Krick,apprentice,Artus De Kemp,master,00001683D
Antoon Krick,apprentice,Laurys Van Rossum,master,00001683D
Artus De Kemp,master,Laurys Van Rossum,master,00001683D
Jan Baptist Van Heil,master,Leo Van Kerckhove,apprentice,00001684A
Erasmus Crock,dean,Jan Baptist Timmermans,dean,00001684D
Erasmus Crock,dean,Theodoor Van Heil,dean,00001684D
Jan Baptist Timmermans,dean,Theodoor Van Heil,dean,00001684D
Jan [b] Raes,dean,Michiel Allaert,dean,00001685C
Christiaen Crocx,dean,Jan [b] Raes,dean,00001685C
Christiaen Crocx,dean,Michiel Allaert,dean,00001685C
Andries Van der Plancken,dean,Francois Ysenbaut,dean,00001686A
Andries Van der Plancken,dean,Laurys Van Rossum,dean,00001686A
Francois Ysenbaut,dean,Laurys Van Rossum,dean,00001686A
Jacob Van der Heyden,master,Lieven Illewardus Van Achter,apprentice,00001686B
Charles Wautier,master,Gillis Wauters,apprentice,00001686C
Antoon De Vorster,apprentice,Peter Leermans,master,00001686D
 Cotina,apprentice,Maerten De la Court,master,00001686E
 Van der Borcht,apprentice,Lambert De Hondt,master,00001686F
Christiaen Crocx,dean,Judocus Van Dormael,dean,00001687A
Christiaen Crocx,dean,Lucas Achtschellinck,dean,00001687A
Judocus Van Dormael,dean,Lucas Achtschellinck,dean,00001687A
Carel De Swert,dean,Judocus Van Overstaeten,apprentice,00001687B
Carel De Swert,master,Judocus Van Overstaeten,apprentice,00001687B
Erasmus Crock,master,Jacob De Rock,apprentice,00001688A
Erasmus Crock,dean,Jacob De Rock,apprentice,00001688A
Antoon De Veuster,apprentice,Peter Leermans,master,00001688B
Adriaen Frankien,apprentice,Peter Herrebos,master,00001688C
Adriaen Thielemans,apprentice,Peter Lambillot,master,00001688D
Jan [b] Raes,dean,Peter Van Orley,dean,00001688E
Erasmus Crock,dean,Jan [b] Raes,dean,00001688E
Erasmus Crock,dean,Peter Van Orley,dean,00001688E
Carolus Van Baeckegom,master,Laurys Casier,apprentice,00001688F
Carel Faeghe,apprentice,Jan Baptist Meskens,master,00001689B
Francois De Coster,apprentice,Francois Reps,master,00001689C
Lucas Achtschellinck,master,[anonymous] ,apprentice,00001689D
Francois Ysenbaut,dean,Joris Ringheler,dean,00001689E
Francois Ysenbaut,dean,Thomas Pins,dean,00001689E
Joris Ringheler,dean,Thomas Pins,dean,00001689E
Hieronymus Ringheler,master,Willem Asselman,apprentice,00001689G
Francois Reps,dean,Jan Baptist Timmermans,dean,1690
Egidius Jan Schoreels,dean,Francois Reps,dean,1690
Egidius Jan Schoreels,dean,Jan Baptist Timmermans,dean,1690
Francois Ysenbaut,dean,Hieronymus Ringheler,dean,00001691A
Carolus Van Baeckegom,dean,Francois Ysenbaut,dean,00001691A
Carolus Van Baeckegom,dean,Hieronymus Ringheler,dean,00001691A
Jan [b] Raes,dean,Matthys Schoevaert,dean,00001692B
Jan [b] Raes,dean,Raymandus Ringheler,dean,00001692B
Matthys Schoevaert,dean,Raymandus Ringheler,dean,00001692B
Jan [b] Raes,dean,Matthys Schoevaert,dean,1693
Jan [b] Raes,dean,Raymandus Ringheler,dean,1693
Matthys Schoevaert,dean,Raymandus Ringheler,dean,1693
Francois Ysenbaut,dean,Hieronymus Ringheler,dean,00001694A
Francois Ysenbaut,dean,Quireyn Van Nuvel,dean,00001694A
Hieronymus Ringheler,dean,Quireyn Van Nuvel,dean,00001694A
Jacob Van der Heyden,master,[anonymous] ,apprentice,00001694F
Jan Vaele,apprentice,Victor Janssens,master,00001694G
Hieronymus Ringheler,dean,Jan Baptist Maeseler,dean,00001695A
Hieronymus Ringheler,dean,Quireyn Van Nuvel,dean,00001695A
Jan Baptist Maeseler,dean,Quireyn Van Nuvel,dean,00001695A
Francois Ysenbaut,dean,Hieronymus Ringheler,dean,00001695A
Francois Ysenbaut,dean,Jan Baptist Maeseler,dean,00001695A
Francois Ysenbaut,dean,Quireyn Van Nuvel,dean,00001695A
Dionysus Van Waeyenbergh,master,Egidius Waeyenborch,apprentice,00001695H
Ferdinand Colyns,master,Johannes Joseph Rottenburch,apprentice,00001695I
Bartholomeus Jacobus Van der Hecht,dean,Hendrick Cortois,dean,00001696A
Bartholomeus Jacobus Van der Hecht,dean,Matthys Schoevaert,dean,00001696A
Hendrick Cortois,dean,Matthys Schoevaert,dean,00001696A
Peter Van Orley,master,Willem Blommaert,apprentice,00001696B
Jan Baptist Crick,dean,Quireyn Van Nuvel,dean,1697
Francois Berbiers,dean,Jan Baptist Crick,dean,1697
Francois Berbiers,dean,Quireyn Van Nuvel,dean,1697
Carel De Swert,master,Florentin Serhuyghens,apprentice,00001698D
Carel De Swert,dean,Florentin Serhuyghens,apprentice,00001698D
Jan Van den Bosch,apprentice,Michiel Coolemans,master,00001698E
Hendrick Van Brouckhorst,master,Peter Biddigir,apprentice,00001698F
Jan Vaele,apprentice,Victor Janssens,master,00001698G
Francois De Bargas,dean,Jan Baptist Noldens,dean,00001698I
Francois De Bargas,dean,Thomas Pins,dean,00001698I
Jan Baptist Noldens,dean,Thomas Pins,dean,00001698I
Hendrick Van Wel,apprentice,Jan Van Daele,master,00001698T
Carolus Van Baeckegom,master,Peter Jacobs,apprentice,00001698U
Francois Berbiers,dean,Jan Baptist Crick,dean,00001699A
Francois Berbiers,dean,Victor Janssens,dean,00001699A
Jan Baptist Crick,dean,Victor Janssens,dean,00001699A
Adriaen De Caron,master,Lucas Storck,apprentice,00001699L
Francois Tilborgh,master,Judocus Groenins,apprentice,00001699M
Ferdinand Colyns,master,Hutoun Wermert,apprentice,00001699N
 Backer,master,Gaspar De Clerck,apprentice,00001699O
Jan Baptist Maeseler,dean,Jan Van Daele,dean,00001700A
Hendrick Van Brouckhorst,dean,Jan Van Daele,dean,00001700A
Hendrick Van Brouckhorst,dean,Jan Baptist Maeseler,dean,00001700A
Jan Van der Heyden,apprentice,Peter Van Orley,master,00001700H
Jan Baptist Maeseler,dean,Jan Van Daele,dean,00001701A
Hendrick Van Brouckhorst,dean,Jan Van Daele,dean,00001701A
Hendrick Van Brouckhorst,dean,Jan Baptist Maeseler,dean,00001701A
Judocus Lamberto,master,Lucas Stock,apprentice,00001701G
Francois De Schyn,apprentice,Michiel Coolemans,master,00001701H
Carel De Wit,apprentice,Michiel Van Cutsem,master,00001701I
 Hermans,apprentice,Jan Baptist Van den Broeck,master,00001701J
 Snaghels,apprentice,Ferdinand Colyns,master,00001701K
Erasmus Crock,master,Matthys Coint,apprentice,00001701L
Ludovicus Schoreels,dean,Philips Mille,dean,00001702A
Francois De Bargas,dean,Hendrick Heretibaudt,dean,00001702A
Francois De Bargas,dean,Ludovicus Schoreels,dean,00001702A
Francois De Bargas,dean,Philips Mille,dean,00001702A
Hendrick Heretibaudt,dean,Ludovicus Schoreels,dean,00001702A
Hendrick Heretibaudt,dean,Philips Mille,dean,00001702A
Catharina Van Stichel,master,Elisabeth Celdrin,master,00001702H
Ludovicus Schoreels,master,Michiel De Leeuw,apprentice,00001702I
Bartholomeus Jacobus Van der Hecht,master,Joseph Hellebosch,apprentice,00001702J
Francois De Bargas,dean,Ludovicus Schoreels,dean,00001703A
Francois De Bargas,dean,Philips Mille,dean,00001703A
Ludovicus Schoreels,dean,Philips Mille,dean,00001703A
Adriaen Pauwels,apprentice,Peter Van Orley,master,00001703E
Carel Judocus Raes,dean,Christiaen Crocx,dean,00001704A
Carel Judocus Raes,dean,Hendrick Van den Houten,dean,00001704A
Christiaen Crocx,dean,Hendrick Van den Houten,dean,00001704A
Adriaen De Caron,master,Gerard Bauwens,apprentice,00001704D
Carel Judocus Raes,dean,Christiaen Crocx,dean,00001705A
Carel Judocus Raes,dean,Hendrick Van den Houten,dean,00001705A
Christiaen Crocx,dean,Hendrick Van den Houten,dean,00001705A
Carel Judocus Raes,master,Simon De Heucht,apprentice,00001705C
Jan Van der Belen,apprentice,Michiel Van Cutsem,master,00001705D
Carel Judocus Raes,dean,Christiaen Crocx,dean,00001706A
Carel Judocus Raes,dean,Hendrick Van den Houten,dean,00001706A
Christiaen Crocx,dean,Hendrick Van den Houten,dean,00001706A
Jacques Van Rome,master,Joos Schutyser,apprentice,11600
Joos Steenarst,apprentice,Willem Van Worms,master,11602
Jan Van den Molen,apprentice,Willem Piscador,master,11681
Americus De Vreese,apprentice,Antoon Van Schelle,master,61602
Adriaen Van Zinnick,master,Joos Rintvelt,apprentice,61609
Jacques Van Worms,master,Joris Arys,apprentice,71615
Andries Van den Hoecke,apprentice,Thomas Pins,master,101690
Everard Rurinckx,apprentice,Peter Noveliers,master,1021611
